"title","original_price","special_price","discount_per","rating","popularity","release_date","publisher","genre","discount_abs","release_date_numeric"
"Nightmare Reaper",45,27,40,7.4,19,2022-03-28,"Blazing Bit Games","FPS",18,19079
"Aircraft Carrier Survival",30,3,90,3.4,5,2022-04-20,"CreativeForge Games","Real-Time Tactics",27,19102
"Fluffy Horde",15,3,80,7,6,2018-11-07,"Turtle Juice","Real-Time Strategy",12,17842
"Leisure Suit Larry - Wet Dreams Dry Twice",60,6,90,6.2,27,2020-10-23,"Assemble Entertainment","Point-and-Click",54,18558
"Omen of Sorrow",29.99,14.99,50.02,5,70,2018-11-06,"AOne Games","2D Fighting",15,17841
"XEL",28.5,5.7,80,4,7,2022-07-14,"Assemble Entertainment","Open-World Action",22.8,19187
"DARQ Ultimate Edition",34.99,17.49,50.01,7.8,59,2019-08-15,"Unfold Games","Linear Action Adventure",17.5,18123
"Blackguards 2",22,2.2,90,7.4,94,2015-01-20,"Daedalic Entertainment","Turn-Based Tactics",19.8,16455
"RAILGRADE",43.95,26.37,40,7.8,5,2022-09-29,"Epic Games","Tycoon",17.58,19264
"KURSK",14.99,2.99,80.05,3.9,41,2018-11-07,"Jujubee S.A.","First-Person Adventure",12,17842
"State of Mind",26.95,2.69,90.02,7.6,69,2018-08-15,"Daedalic Entertainment","Third-Person Adventure",24.26,17758
"Owlboy",29.95,11.98,60,7.6,285,2016-11-01,"D-Pad Studio","Action Adventure",17.97,17106
"Yodanji",7.5,3.75,50,6,9,2017-12-07,"Kemco","Roguelike",3.75,17507
"Cube Life: Island Survival",21,15.75,25,7.3,18,2015-06-04,"Cypronia","Sandbox",5.25,16590
"Skee-Ball",4.5,1.57,65.11,7,4,2018-04-19,"Ocean Media","Arcade",2.93,17640
"Glaive: Brick Breaker",15,2.1,86,6.3,15,2018-04-26,"Blue Sunset Games","Arcade",12.9,17647
"WILL: A Wonderful World",26.95,13.47,50.02,6.9,10,2018-10-18,"CIRCLE Entertainment","Visual Novel",13.48,17822
"Realpolitiks",37.5,3.75,90,6.7,27,2017-02-16,"1C Entertainment","Real-Time Strategy",33.75,17213
"Nelke & the Legendary Alchemists ~Ateliers of the New World~",90,29.7,67,7.1,42,2019-03-26,"Koei Tecmo Games","RPG",60.3,17981
"Deployment",15,2.25,85,5.8,4,2018-04-10,"Whale Rock Games","Top-Down Shoot-'Em-Up",12.75,17631
"Pix the Cat",15,1.5,90,6.1,94,2014-10-07,"Pasta Games","Arcade",13.5,16350
"The King's Bird",30,6,80,7.2,13,2018-08-23,"Serenity Forge","2D Platformer",24,17766
"The Long Journey Home",26.95,2.69,90.02,7,32,2017-05-30,"Daedalic Entertainment","Action Adventure",24.26,17316
"Merchants of Kaidan",15,2.25,85,5.8,21,2014-07-25,"Forever Entertainment","Tycoon",12.75,16276
"Felix The Reaper",23,2.3,90,6.4,11,2019-10-17,"Daedalic Entertainment","Adventure",20.7,18186
"Bot Vice",15,3,80,7.3,4,2016-07-11,"DYA Games","Top-Down Shoot-'Em-Up",12,16993
"Goonya Fighter",20.49,2.04,90.04,7.6,23,2019-06-27,"Mutan","Party",18.45,18074
"Automachef",22.5,4.5,80,6.8,6,2019-07-23,"Team17","Tycoon",18,18100
"Lust for Darkness",19.5,13.65,30,5.4,61,2018-06-12,"Movie Games","First-Person Adventure",5.85,17694
"Lust for Darkness: Dawn Edition",19.5,13.65,30,5.4,61,2018-06-12,"Movie Games","First-Person Adventure",5.85,17694
"Shantae and the Seven Sirens",42,21,50,7.9,78,2020-05-28,"WayForward","2D Platformer",21,18410
"Super Night Riders",7.5,1.87,75.07,5.3,7,2016-05-18,"neko.works","Auto Racing",5.63,16939
"Tiny Thor",29.5,19.17,35.02,7.9,7,2023-08-03,"Gameforge","2D Platformer",10.33,19572
"Hentai vs. Evil",14.99,5.99,60.04,3.9,7,2021-05-27,"EastAsiaSoft","Third Person Shooter",9,18774
"Rainbow Skies",29.99,14.99,50.02,6.2,15,2018-06-26,"SideQuest Studios","Turn-Based Tactics",15,17708
"Heaven Dust 2",22.5,15.75,30,8.1,7,2022-01-06,"indienova","Survival",6.75,18998
"Lamentum",24,9.6,60,7,12,2021-08-27,"Neon Doctrine","Survival",14.4,18866
"Ambition: A Minuet in Power",27,13.5,50,7.9,7,2021-08-18,"Humble Games","Visual Novel",13.5,18857
"Growbot",25.5,16.57,35.02,7.5,4,2021-10-21,"Wabisabi Games","Point-and-Click",8.93,18921
"Wildcat Gun Machine",22,2.2,90,4,6,2022-05-04,"Daedalic Entertainment","Top-Down Shoot-'Em-Up",19.8,19116
"Gerda: A Flame in Winter",29.95,11.98,60,8.1,15,2022-09-01,"DONTNOD Entertainment","Third-Person Adventure",17.97,19236
"Final Vendetta",37.5,15,60,3.8,5,2022-06-17,"Numskull Games","2D Beat-'Em-Up",22.5,19160
"Warpips",30,6,80,6.9,7,2022-04-21,"Daedalic Entertainment","Real-Time Tactics",24,19103
"The Medium - Cloud Version",75,30,60,7.2,1461,2021-01-28,"Bloober Team","Survival",45,18655
"Sine Mora EX",49.95,7.49,85.01,7,24,2017-08-08,"THQ Nordic","Horizontal Shoot-'Em-Up",42.46,17386
"Pic-a-Pix Deluxe",11.99,5.99,50.04,7.9,10,2018-01-04,"Lightwood Games","Logic Puzzle",6,17535
"Double Dragon 4",14.4,7.2,50,6.6,29,2017-01-30,"Arc System Works","2D Beat-'Em-Up",7.2,17196
"Die for Valhalla!",17.99,5.39,70.04,5.5,4,2018-05-29,"Monster Couch","2D Beat-'Em-Up",12.6,17680
"Tactical Mind",4.5,1.5,66.67,5.4,7,2017-12-22,"QubicGames","Turn-Based Strategy",3,17522
"Woodle Tree Adventures",7.5,1.5,80,6.1,25,2017-12-21,"Chubby Pixel","3D Platformer",6,17521
"Double Dragon & Kunio-kun: Retro Brawler Bundle",54,27,50,8,11,2020-02-20,"Arc System Works","Compilation",27,18312
"Jumping Joe & Friends",2.99,1.5,49.83,5.5,13,2018-05-25,"QubicGames","2D Platformer",1.49,17676
"Timberman VS",3,2.1,30,6,24,2018-05-03,"Forever Entertainment","Arcade",0.9,17654
"Goetia",15,2.1,86,6.8,17,2016-04-14,"Square Enix","Point-and-Click",12.9,16905
"Farm Expert 2018 for Nintendo Switch™",37.5,26.25,30,5.4,15,2018-03-30,"SimFabric","Virtual Career",11.25,17620
"World Conqueror X",17.95,7.18,60,7.6,21,2018-03-08,"CIRCLE Entertainment","Turn-Based Tactics",10.77,17598
"VSR: Void Space Racing",7.49,1.5,79.97,6.4,9,2018-07-20,"SONKA","Future Racing",5.99,17732
"Toki",22.35,2.23,90.02,6.3,22,2018-12-04,"Microids","2D Platformer",20.12,17869
"Mitsurugi Kamui Hikae",18,7.2,60,3.9,12,2016-02-16,"Playism","3D Beat-'Em-Up",10.8,16847
"A Dark Room",10.5,4.2,60,6.8,13,2013-11-08,"Amirali Rajan","Text Adventure",6.3,16017
"Strikey Sisters",15,3,80,7.8,12,2019-02-14,"DYA Games","Arcade",12,17941
"Anodyne",14.99,2.99,80.05,6.9,78,2013-02-04,"Analgesic Productions","Open-World Action",12,15740
"Ghost Parade",69.95,6.99,90.01,5.4,5,2019-10-31,"Aksys Games","Action Adventure",62.96,18200
"Bad Dream: Fever",15,2.1,86,5.9,8,2018-11-15,"PlayWay","Point-and-Click",12.9,17850
"AER Memories of Old",30,3,90,6.5,70,2017-10-25,"Daedalic Entertainment","Open-World Action",27,17464
"Slayin 2",18,4.5,75,8,20,2020-05-07,"FDG Entertainment","Action RPG",13.5,18389
"Knowledge Trainer: Trivia",24.99,4.99,80.03,8.5,27,2019-11-28,"the binary family","Trivia",20,18228
"Wanderlust Travel Stories",22.5,2.25,90,7.6,18,2019-09-26,"Walkabout Games","Adventure",20.25,18165
"Clive 'N' Wrench",43.5,21.75,50,3,4,2023-02-24,"Numskull Games","3D Platformer",21.75,19412
"Asterix & Obelix XXL: Romastered",59.95,17.98,70.01,6.2,9,2020-10-22,"Microids","3D Beat-'Em-Up",41.97,18557
"Waifu Uncovered",9.99,3.99,60.06,7,6,2020-07-16,"EastAsiaSoft","Vertical Shoot-'Em-Up",6,18459
"Oceanhorn 2: Knights of the Lost Realm",45,22.5,50,8.4,36,2020-10-28,"Cornfox & Bros.","Open-World Action",22.5,18563
"HardCube",9,2.07,77,8.3,4,2020-08-07,"Big Way","3D Platformer",6.93,18481
"EARTH DEFENSE FORCE: WORLD BROTHERS Deluxe Edition",90,36.9,59,5.6,5,2021-05-27,"D3Publisher","Third Person Shooter",53.1,18774
"El Hijo - A Wild West Tale",29.99,10.49,65.02,7.1,14,2020-12-03,"HandyGames","Linear Action Adventure",19.5,18599
"Project Nightmares Case 36: Henrietta Kedward",29.99,14.99,50.02,6.8,4,2023-04-27,"Feardemic","Survival",15,19474
"Bang-On Balls: Chronicles Deluxe Edition",45,22.5,50,7.8,18,2023-10-05,"Untold Tales","3D Platformer",22.5,19635
